Delivery Date,da_tb2,rt_tb2
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-10,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
2022-01-11,303.88,582.58
